"","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
"642",1,3,1,2,2,3,1,3,2,3,3,3,3,3,2,2,3,3,3,3,1,4,3,4,3,3,2
"185",1,1,1,1,1,3,3,3,3,5,4,3,1,3,1,5,3,1,1,2,4,4,5,5,3,4,4
"468",2,2,2,4,4,2,1,2,4,4,3,3,4,4,4,4,4,4,2,4,2,2,4,2,4,2,2
"1796",2,1,1,1,1,1,1,1,3,2,2,2,1,4,3,2,1,3,1,3,4,3,4,3,4,3,4
"4071",3,1,1,4,2,4,2,1,5,5,4,4,3,5,3,5,4,5,3,4,5,5,4,5,4,5,5
"8852",3,1,2,2,1,3,4,2,5,4,4,4,2,3,4,2,2,3,2,5,2,2,3,3,2,2,5
"6221",1,1,1,1,1,1,3,1,3,3,3,4,2,2,3,3,2,4,3,4,3,3,3,2,2,2,2
"3892",1,1,1,2,2,3,2,3,4,3,3,4,2,2,1,2,1,2,1,2,2,4,4,2,2,2,4
"856",2,2,3,3,2,4,1,4,2,4,4,4,3,2,2,2,3,4,3,4,2,4,2,1,1,2,4
"1154",4,2,1,2,1,4,1,3,3,3,3,4,3,4,2,4,2,3,2,5,2,4,4,2,4,4,4
"7151",1,1,1,1,1,1,3,1,2,1,2,3,3,5,4,2,4,4,3,5,2,4,4,4,2,4,3
"6461",1,1,1,3,1,3,1,2,4,3,4,2,2,2,3,3,3,3,1,4,1,4,2,2,4,1,3
"4181",4,2,2,2,2,4,2,2,4,2,3,4,4,4,4,3,3,4,3,2,2,3,4,4,3,3,4
"7181",1,2,2,2,4,2,1,1,1,4,2,3,4,5,4,4,4,5,3,2,2,5,4,5,5,4,1
"1314",1,1,1,5,1,2,1,1,4,2,1,1,4,5,4,4,4,3,4,5,2,5,4,3,2,2,4
"13810",3,2,2,3,2,2,1,2,2,3,3,3,3,4,3,4,3,4,2,3,4,4,3,3,2,3,3
"2766",2,2,2,3,2,1,1,2,4,3,3,5,5,5,5,3,4,4,3,5,2,5,3,2,2,4,2
"308",2,1,3,4,4,2,1,2,3,4,4,2,3,3,3,3,3,3,2,3,2,4,5,4,4,3,4
"6251",1,2,1,2,1,4,1,3,3,3,4,4,3,5,2,2,4,3,2,5,4,4,4,4,3,4,4
"579",2,4,1,2,1,3,4,2,4,4,4,4,2,5,2,3,3,4,3,4,2,3,2,4,4,2,2
"7481",2,2,3,2,2,3,1,2,5,3,4,4,2,4,3,3,2,3,3,3,3,5,4,4,2,4,4
"7942",1,2,1,2,1,3,1,2,5,4,2,3,1,2,3,4,3,1,2,2,1,3,3,2,1,2,2
"7851",1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,2,1,1,5,3,4,4,4,2,4,5
"4041",3,2,2,2,4,2,1,2,1,2,2,1,4,2,3,2,2,5,3,2,2,3,4,3,4,3,4
"8212",4,4,5,5,5,4,1,4,3,2,1,4,1,2,3,2,2,2,1,5,2,5,3,4,2,3,5
"9011",3,1,2,2,2,3,1,2,4,2,3,3,4,5,3,3,3,3,4,5,2,5,2,3,2,2,3
"7641",1,2,1,2,1,3,2,3,3,2,2,3,2,4,3,4,2,3,3,4,2,4,2,2,1,2,2
"8401",2,2,2,3,2,1,1,1,1,3,4,1,1,1,2,4,3,2,1,4,5,5,5,4,5,4,5
"2755",2,1,1,3,2,3,4,2,3,2,5,4,2,4,3,3,3,3,1,5,4,5,5,5,4,3,5
"7110",3,1,2,2,3,2,2,1,3,3,3,3,3,3,3,3,2,3,2,3,2,3,4,3,2,3,3
"7072",2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,2,4,4,3,4,3,3,1,3
"2401",1,2,1,1,1,2,4,3,4,4,3,3,4,5,4,4,4,4,4,5,3,3,3,4,3,4,3
"628",1,1,1,1,1,3,4,3,4,3,4,4,1,2,1,2,1,2,1,3,4,5,4,3,4,4,3
"722",2,3,2,3,2,3,2,4,4,4,3,5,2,3,3,3,3,4,3,3,2,3,3,3,2,3,3
"615",1,2,1,1,1,1,2,1,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,2,4,1,2
"6681",1,2,1,2,1,3,1,2,5,5,3,4,5,4,4,5,4,3,4,4,4,5,4,4,4,5,3
"6392",3,2,2,2,1,3,2,2,2,4,3,5,2,5,2,3,1,2,2,3,2,4,4,5,3,3,4
"1243",1,1,1,1,1,2,3,2,1,1,1,4,1,4,1,4,1,4,1,5,2,2,2,3,2,1,1
"201",1,1,2,2,2,3,2,3,3,3,4,4,1,4,1,3,3,3,2,4,4,4,4,4,4,4,3
"5152",3,1,1,2,1,2,3,3,4,3,4,3,2,4,3,4,4,2,3,4,3,4,4,3,4,3,4
"19711",3,2,1,2,1,3,2,2,2,3,4,2,2,4,3,2,4,4,1,4,3,4,4,5,4,4,3
"1351",3,3,3,5,3,4,2,3,3,4,3,4,3,5,4,4,4,4,4,4,5,4,5,4,3,3,3
"8521",2,3,1,1,3,2,1,2,2,4,2,3,1,5,5,4,5,3,1,5,4,2,5,2,3,1,5
"4581",3,1,1,2,2,3,1,2,2,2,4,1,3,5,3,4,2,3,2,5,4,4,4,4,4,2,4
"6712",2,2,1,2,3,4,1,1,2,2,4,4,4,3,3,3,2,4,2,3,2,3,4,4,3,3,3
"18810",5,4,1,2,2,4,3,4,5,2,4,3,4,4,4,2,4,4,4,3,2,2,4,3,3,3,3
"4701",1,1,2,2,3,2,2,2,4,2,2,4,3,5,3,3,4,4,3,5,4,4,4,2,4,2,4
"3411",2,2,2,2,4,3,4,4,3,4,4,4,4,5,2,4,2,5,3,4,4,4,1,4,2,3,4
"17551",2,2,2,2,3,3,2,3,3,4,4,4,3,3,3,3,3,2,3,4,4,4,4,4,4,3,4
"3430",3,3,3,3,4,4,2,4,3,4,4,4,2,4,3,3,2,3,2,5,4,4,3,4,4,4,4
"2216",5,5,4,5,4,4,3,5,5,3,4,5,1,2,2,1,2,4,2,2,5,5,1,5,2,1,1
"621",3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3
"2845",4,4,3,3,3,4,4,4,2,4,3,3,3,3,3,4,3,4,4,3,3,3,3,5,3,3,3
"3700",3,3,3,3,5,4,2,3,3,3,4,5,4,5,5,4,5,4,4,5,4,4,3,5,4,4,2
"2183",3,2,2,4,4,4,3,2,4,4,2,2,3,4,4,4,3,3,4,5,4,3,4,4,4,4,3
"2585",3,3,3,5,3,4,2,5,5,5,4,5,5,3,5,2,2,3,5,3,5,4,5,5,5,4,5
"28461",3,3,3,2,3,4,2,2,4,4,3,4,3,4,4,5,4,3,4,4,3,4,3,5,4,4,3
"20211",2,3,2,3,3,2,2,2,2,3,4,2,4,3,3,3,4,3,2,4,4,4,3,4,3,4,3
"2542",4,2,3,3,3,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"2503",2,2,3,2,2,2,1,2,2,2,3,4,2,3,2,4,2,3,2,3,4,3,3,4,3,3,3
"30651",2,2,1,1,3,2,1,1,2,2,2,2,2,2,4,3,2,3,3,3,4,4,4,4,4,2,4
"3168",4,1,1,3,4,5,2,1,2,4,5,5,5,4,5,3,4,5,5,5,2,5,4,5,4,3,4
"1350",3,3,2,3,3,3,2,2,2,3,4,3,3,4,3,3,3,3,2,4,4,3,2,4,4,3,2
"3287",3,2,2,2,4,3,4,3,4,4,3,3,3,4,4,4,4,2,3,4,4,4,4,4,4,2,4
"1693",3,4,4,4,4,2,1,2,3,2,4,3,4,4,4,3,4,2,4,4,4,4,3,5,4,2,2
"3529",3,2,4,2,5,4,2,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,5,4,2
"14391",1,2,1,2,2,1,1,1,1,3,1,3,5,5,5,2,3,2,3,5,5,5,4,5,4,5,4
"1478",2,3,2,2,4,4,3,2,4,3,3,3,2,3,3,4,3,3,3,4,4,4,4,4,3,4,3
"11101",4,3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4
"3983",3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,3,3,3,3,3,4,3
"11442",2,2,3,2,3,3,3,2,3,3,2,3,3,3,2,3,3,2,2,3,2,2,3,3,3,3,3
"20901",3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4
"8842",3,2,3,3,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
"19131",3,2,3,3,4,3,2,3,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4
"1285",5,5,3,5,4,1,3,3,5,4,4,3,1,5,5,5,5,5,5,5,5,3,1,3,5,4,1
"19781",2,1,2,2,4,1,2,1,3,3,3,3,2,5,3,3,3,3,3,4,4,4,4,5,5,5,3
"28410",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,5,3,3,3
"2409",3,2,2,2,2,4,2,3,2,4,3,4,3,4,4,3,4,4,3,2,4,4,2,4,4,4,2
"2080",3,3,4,3,5,3,3,5,4,3,3,3,4,3,3,3,3,5,3,3,4,3,3,4,3,3,3
"32381",1,1,1,2,1,2,4,1,2,4,3,4,5,5,4,4,1,4,4,5,4,4,2,3,4,5,3
"10692",4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4
"3391",1,1,1,1,5,5,1,4,5,5,4,1,4,5,4,2,3,1,4,5,5,3,5,4,4,3,2
"2991",3,2,3,3,3,3,3,3,3,3,3,5,3,4,3,3,3,2,3,3,3,3,3,4,3,4,4
"12791",3,3,3,4,4,4,2,2,4,3,3,3,3,4,3,3,3,3,3,4,4,3,4,4,3,3,4
"21631",2,3,2,3,4,4,1,3,2,3,3,2,4,3,4,4,4,3,4,3,4,4,3,4,4,5,4
"361",3,2,3,3,3,3,2,2,3,3,3,4,3,4,3,3,4,3,3,4,4,4,2,4,3,3,3
"1744",3,3,3,3,4,3,2,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,3,4,3,4,3
"1855",2,3,3,3,3,3,4,1,3,3,3,3,3,3,5,3,3,3,3,3,3,4,2,3,3,2,3
"30831",2,3,2,2,3,3,1,2,3,3,3,2,4,4,4,2,4,3,4,4,4,4,4,5,3,3,3
"6241",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
"3358",2,2,2,4,5,3,4,2,4,3,4,3,3,4,4,3,4,3,3,4,4,4,3,4,3,3,4
"31121",4,4,4,5,4,4,2,2,2,2,4,2,4,4,4,4,2,4,4,4,4,4,2,5,4,5,4
"5811",3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3
"4781",2,2,2,2,4,4,2,2,2,4,4,4,4,5,5,5,5,4,4,5,4,5,4,5,4,5,4
"3040",4,2,2,2,4,3,3,2,2,3,3,4,2,5,4,5,4,4,4,5,3,4,5,4,3,3,3
"2012",3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
"10212",2,3,2,3,2,3,2,2,3,3,4,4,3,5,4,3,3,3,2,4,3,3,2,3,2,3,3
"18821",2,2,2,4,3,4,2,2,2,2,3,2,2,4,4,5,4,4,4,4,4,3,4,4,4,3,3
"383",3,2,3,2,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,5,4,3,4
"3368",3,3,3,4,3,3,2,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4
"10101",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3
"13051",1,1,1,1,3,3,5,1,5,1,3,1,3,2,1,2,1,1,1,2,5,5,5,5,5,4,5
"3722",3,3,3,3,3,2,4,4,3,2,3,4,3,4,4,3,3,3,3,2,3,3,3,2,3,3,3
"26091",4,2,2,2,2,4,2,3,4,4,4,4,3,3,4,3,3,4,4,3,4,4,4,3,4,4,3
"3409",2,3,2,4,4,4,2,4,2,4,4,4,4,5,4,2,3,4,4,4,2,4,3,4,4,4,2
"8781",3,4,4,3,3,4,3,1,3,3,3,3,3,5,5,4,3,4,3,5,3,1,3,5,3,3,3
"1787",1,1,1,2,4,2,1,2,2,4,4,2,4,4,5,3,4,3,2,5,4,2,5,4,4,4,4
"2231",3,3,3,4,3,3,3,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4
"3681",2,2,2,3,3,3,2,2,2,4,3,2,3,4,5,2,4,2,3,5,3,3,3,4,2,2,3
"1570",2,2,2,2,3,2,3,2,3,3,4,3,3,4,4,3,3,3,3,3,4,4,3,4,3,4,2
"28221",2,2,2,4,4,3,2,4,2,3,4,4,4,5,4,2,5,4,4,5,5,4,1,4,5,4,4
"3282",1,2,1,2,3,2,2,2,3,2,2,3,4,4,3,4,3,2,2,3,3,4,2,4,3,4,1
"1792",1,2,4,3,4,3,3,1,2,3,4,2,3,5,4,4,4,4,3,4,4,4,3,5,5,4,4
"3062",4,4,3,4,2,4,5,4,2,3,2,4,4,4,3,3,5,4,3,4,5,4,4,4,4,2,2
"834",4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,2,4,4,4,4,5,4,4
"2831",4,5,4,4,3,3,2,3,2,3,4,4,4,3,3,3,3,4,4,3,4,3,3,5,3,3,3
"1605",2,2,1,1,2,3,1,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,3,4,3,3,3
"1039",3,3,2,4,4,3,2,3,4,4,4,4,4,4,3,4,4,4,4,4,3,2,3,3,3,3,3
"11091",1,1,1,3,4,2,1,2,1,1,3,1,2,2,5,3,3,3,1,4,5,3,4,5,5,4,3
"8213",1,1,1,1,1,3,1,2,2,3,3,3,2,5,4,4,3,2,2,4,5,2,3,3,3,2,4
"2402",3,3,3,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3
"958",2,2,2,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,3,3,4,3,3
"11471",4,2,2,2,3,4,3,4,3,4,4,2,3,4,4,4,3,3,4,4,5,4,5,5,4,5,4
"3665",3,3,2,2,4,2,1,2,2,4,4,4,4,5,5,4,4,4,5,4,4,3,2,2,4,4,4
"22181",2,2,2,2,2,4,3,4,3,3,4,4,2,4,2,2,2,3,2,2,4,4,3,4,2,4,4
"6292",3,2,2,3,4,4,2,2,3,4,4,3,4,4,4,2,2,4,3,4,4,4,4,4,4,4,4
"1549",1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
"1131",2,3,2,2,4,4,1,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,5,4,3,4
"2170",3,3,2,3,3,2,2,3,3,2,2,3,3,4,4,3,4,4,2,3,4,3,3,4,5,3,4
"2944",3,3,3,3,3,3,2,4,3,2,3,3,4,3,4,3,4,3,4,4,4,3,3,3,4,3,2
"3489",1,2,2,2,2,3,2,2,3,2,2,2,4,4,4,4,4,4,4,5,4,4,2,4,4,3,2
"3577",2,2,2,2,4,4,1,3,3,3,4,4,4,4,4,4,4,4,5,4,4,2,5,5,4,2,5
"1607",2,2,2,3,4,3,1,2,2,3,4,2,3,4,4,4,4,3,3,5,4,4,3,1,4,4,3
"20631",2,3,3,4,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,4
"28231",1,1,3,1,4,2,1,1,4,2,4,5,3,4,4,3,4,2,2,3,2,3,3,4,2,5,3
"4732",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
"3507",4,2,2,4,5,3,4,2,3,4,4,4,3,3,4,3,4,3,4,3,4,4,4,2,2,3,4
"18841",4,4,4,3,5,4,4,4,4,4,5,5,4,4,4,3,4,5,4,4,4,4,4,5,4,4,4
"2569",2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,4,3
"1987",4,2,2,4,3,3,4,3,3,4,3,4,3,4,4,3,3,3,4,4,4,3,4,3,4,4,4
"1793",3,3,3,2,3,2,2,2,4,2,4,3,3,4,3,2,3,3,3,3,4,3,3,5,2,4,4
"3045",2,2,3,2,5,4,1,3,3,2,5,3,2,2,2,2,2,2,2,3,5,5,5,5,4,5,4
"23221",2,3,2,3,3,3,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,3
"7613",4,4,3,3,3,4,3,4,4,2,4,4,4,5,5,5,3,4,3,3,5,2,4,5,4,2,4
"3091",2,2,2,2,3,3,3,2,3,3,2,2,2,5,4,3,4,3,3,4,2,4,4,5,3,4,4
"2582",3,2,3,2,4,2,2,4,3,4,4,4,2,2,5,5,2,4,3,2,4,4,2,4,4,3,4
"26491",5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
"8512",1,1,1,1,2,1,1,1,1,3,5,2,1,5,4,4,3,1,2,4,5,5,5,5,5,4,3
"3263",4,4,3,3,4,4,1,4,4,4,4,4,2,4,4,4,4,2,4,4,3,3,2,3,3,3,4
"3582",3,3,3,4,3,3,4,4,3,4,2,3,4,3,3,4,3,3,5,3,4,4,3,3,3,4,3
"14661",3,4,3,3,4,4,2,2,4,2,4,4,2,4,4,4,4,4,3,4,4,4,3,5,3,4,3
"3305",2,2,1,2,5,3,2,4,4,3,4,4,4,5,4,4,4,5,4,4,4,3,3,3,3,2,3
"3633",1,2,1,5,4,5,2,2,4,2,5,4,5,4,5,4,4,4,5,5,3,4,5,5,3,3,5
"3318",4,2,4,4,4,2,2,3,2,2,4,2,4,4,4,2,4,3,4,4,5,4,2,4,4,4,4
"8901",3,3,3,4,3,3,3,3,2,3,3,4,3,4,4,3,4,4,3,4,4,5,3,5,4,4,3
"22751",2,1,5,1,5,5,1,2,2,1,5,5,4,5,5,4,4,5,2,5,4,5,4,5,2,2,2
"6562",3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,4,3,3,3,3,3,3,3
"31911",5,5,5,4,4,4,4,1,4,2,4,2,2,5,5,4,3,4,4,5,4,5,4,5,4,2,2
"1397",4,4,4,4,3,4,3,4,4,4,4,5,4,4,4,4,4,3,4,4,3,3,3,5,4,4,3
"8481",2,3,2,3,4,2,1,2,2,2,3,2,3,5,5,4,2,4,4,5,4,3,4,5,4,4,2
"8661",3,3,3,2,3,3,1,3,2,4,2,1,4,5,4,3,3,4,3,5,5,3,2,5,5,5,3
"2694",1,2,2,2,4,3,4,1,3,2,4,2,3,4,4,4,4,3,3,4,5,5,3,5,3,5,3
"24781",3,2,3,2,4,3,2,3,3,2,4,4,3,4,4,4,3,4,3,2,3,3,3,3,4,3,3
"1776",3,3,3,4,3,3,1,3,3,3,3,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,2
"13311",3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,4,4,3,4,3,4,3,4,3,3,3
"3595",3,2,3,3,3,3,3,2,3,1,4,3,1,3,5,4,4,3,1,4,3,3,1,4,2,2,4
"9111",2,2,1,2,5,2,1,1,3,3,2,3,5,5,5,5,3,3,2,3,5,5,3,5,4,5,3
"14691",3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,3,3,4,3,3,4,3,4,2,4,3
"14241",2,2,1,2,2,4,1,4,4,4,4,4,4,4,4,3,4,3,2,5,3,4,4,5,5,4,2
"23051",3,4,2,4,3,3,1,2,3,2,3,2,4,4,4,3,4,4,4,4,3,3,3,5,3,4,3
"2129",1,1,1,1,4,2,1,2,3,1,2,1,2,4,3,5,4,2,3,4,4,5,3,5,4,3,2
"3145",3,2,2,2,3,4,2,2,3,3,4,2,4,4,4,2,4,3,4,4,4,4,4,4,2,3,3
"9881",2,3,3,3,4,3,1,3,2,3,4,3,3,5,4,3,3,4,3,2,4,5,2,5,2,5,4
"3495",2,3,3,3,5,3,2,3,3,2,3,5,5,3,3,3,3,5,3,3,2,5,2,5,2,5,3
"2873",2,4,1,3,4,4,1,3,4,4,4,4,3,5,4,4,4,4,5,5,4,3,2,4,5,4,2
"24301",3,3,4,4,4,4,3,2,4,3,3,4,4,3,4,2,4,3,4,3,4,3,3,4,4,2,3
"14401",3,3,3,2,4,3,2,3,2,2,3,2,2,4,2,4,3,3,2,3,4,4,3,4,4,3,3
"3345",1,1,1,1,1,2,1,1,1,2,1,1,2,3,3,2,3,1,2,4,4,3,4,3,4,2,3
"2703",2,2,3,4,3,3,2,4,5,2,4,3,3,4,2,2,3,3,5,3,5,1,4,1,4,3,2
"19091",3,5,3,5,4,4,1,3,1,1,4,5,3,5,4,3,3,5,3,5,2,4,1,5,3,4,1
"26781",4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"6042",3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"1646",3,3,3,3,4,3,2,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"3530",5,5,5,4,5,3,2,3,4,3,5,4,2,4,4,4,2,4,2,4,3,1,1,5,3,3,2
"2264",4,3,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4
"26761",2,3,2,3,4,3,2,3,4,2,4,3,4,3,4,3,2,4,4,4,4,4,2,4,4,4,3
"10851",5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1
"8911",2,2,2,2,3,3,3,2,3,3,3,3,4,5,3,3,3,4,3,4,3,3,2,4,4,3,3
"3492",5,2,5,2,4,4,1,4,5,3,4,4,4,2,1,4,2,4,4,1,4,4,4,5,2,4,4
"12131",3,2,2,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4
"18581",2,3,2,3,4,3,3,2,5,3,4,3,4,3,4,3,3,4,3,4,4,4,4,5,3,4,4
"962",3,3,3,2,4,4,1,3,4,3,4,4,4,4,4,3,3,4,3,3,4,4,2,5,4,3,4
"1338",4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,3
"3303",3,2,4,4,3,3,4,4,3,4,4,4,3,2,3,3,3,4,3,3,4,4,1,5,2,3,2
"2729",2,2,2,3,3,3,2,3,3,3,1,3,2,5,3,3,3,3,3,3,3,2,2,3,3,3,3
"3123",1,2,1,4,4,2,2,2,3,4,4,4,4,4,4,3,2,4,4,5,4,3,4,4,4,4,5
"3406",3,2,2,4,4,4,2,3,4,4,4,4,4,5,5,5,5,5,5,4,4,4,3,4,4,4,3
"3327",3,3,2,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3
"25301",2,2,2,3,2,3,2,3,3,2,4,4,3,4,4,3,4,4,3,4,3,4,2,4,3,4,4
"7221",2,3,2,2,3,3,2,2,3,3,3,2,2,3,2,2,3,2,3,4,4,3,3,4,4,4,3
"3338",1,2,1,3,2,2,1,1,2,2,4,4,1,5,2,2,2,1,1,5,4,4,4,4,3,4,3
"2159",3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,2,3
"3558",2,2,2,2,3,3,2,2,2,2,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
"11571",3,3,3,3,4,3,2,3,3,3,3,3,4,4,4,3,3,4,4,4,3,3,2,4,3,4,3
"14151",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
"20831",3,3,3,2,4,4,2,2,2,2,3,2,4,5,4,4,5,4,4,4,4,4,2,5,4,4,4
"5310",4,3,3,4,4,3,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,5,4,4,3
"3296",1,2,1,4,5,4,1,4,4,3,4,4,4,4,4,5,5,4,4,5,4,5,4,5,4,5,1
"19712",3,3,3,3,4,3,2,3,2,3,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4
"1187",3,4,4,3,3,3,3,3,3,3,4,3,4,4,4,3,4,3,3,3,3,4,3,5,3,4,4
"19981",3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,5,4,4,3
"2112",4,3,4,4,4,3,3,3,3,4,4,5,4,4,4,3,4,4,4,4,4,2,2,4,2,2,3
"1826",2,4,3,3,3,3,2,4,4,3,4,5,3,4,3,4,4,4,3,4,3,4,3,3,3,3,3
"1462",3,3,2,2,4,2,2,3,4,3,4,3,4,5,3,4,2,3,3,3,3,4,2,4,3,3,2
"5603",2,4,3,4,4,2,2,2,2,2,3,2,3,4,4,4,4,2,3,5,4,5,2,3,4,4,3
"3566",3,3,3,3,5,4,4,4,4,2,5,4,4,4,4,3,4,3,2,4,4,4,4,4,3,4,4
"1988",3,4,2,2,1,3,5,3,2,2,3,2,5,5,5,5,5,4,4,5,4,4,5,3,3,4,4
"2488",4,4,3,3,4,2,5,4,1,1,1,3,4,4,4,4,3,2,4,4,3,5,4,5,4,5,4
"3013",2,2,3,1,4,4,1,2,4,4,4,4,4,3,4,2,4,3,4,4,5,2,5,5,2,5,5
"2175",2,4,4,3,4,3,3,3,3,3,4,3,3,5,4,4,4,4,3,4,4,3,2,4,3,4,4
"3727",3,2,2,3,3,3,3,3,3,4,3,3,3,4,3,2,3,4,4,4,3,4,2,3,4,4,2
"3538",2,5,2,4,5,2,2,2,2,1,5,4,2,5,5,5,4,5,3,5,5,2,1,4,4,1,2
"23781",3,5,3,3,4,2,1,2,3,5,5,5,4,4,4,5,4,5,5,4,3,5,1,5,2,1,5
"13721",5,3,5,3,4,5,3,5,5,5,4,4,4,5,5,4,4,5,5,3,3,4,4,5,3,3,4
"17321",2,3,3,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,2,3,2,2,2,3,2,2
"1474",3,2,2,3,2,3,2,2,4,2,3,2,2,4,4,2,3,3,2,4,5,2,3,5,3,3,2
"1286",2,3,2,3,4,4,1,4,3,3,4,3,2,3,3,3,3,3,2,3,3,3,2,4,4,2,4
"3721",2,2,1,2,5,4,3,1,4,3,4,4,3,4,4,3,4,3,4,4,5,5,5,5,5,5,5
"23601",1,2,1,1,2,5,2,4,4,1,4,1,2,2,2,1,4,2,4,2,4,5,1,5,5,2,5
"6012",1,3,1,3,4,2,1,3,2,4,4,2,4,4,3,2,2,3,3,4,4,4,3,4,3,5,2
"2214",4,4,4,4,4,3,1,1,4,4,3,3,4,4,4,3,4,4,4,5,4,3,1,4,3,3,3
"1373",2,3,3,3,2,4,1,3,4,2,4,4,3,4,3,3,2,3,2,3,5,4,3,5,5,4,2
"3361",3,2,4,2,5,3,3,5,5,5,3,5,4,4,4,5,3,4,4,5,5,3,5,4,3,1,5
"537",1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,4,5,2,5,3,5,1,4
"3135",3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
"8622",2,1,2,1,4,4,1,3,4,4,2,2,1,2,5,3,2,2,2,1,5,5,5,3,4,5,4
"9492",2,2,3,2,4,3,1,3,2,2,3,4,3,4,2,4,4,3,2,3,5,4,3,5,4,3,5
"22931",4,2,4,4,2,3,4,4,4,3,4,2,3,2,3,3,4,3,3,4,4,2,3,4,1,3,5
"10711",1,2,1,2,3,3,2,2,2,4,3,1,4,4,4,4,4,5,3,5,5,3,2,5,4,2,5
